Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,Genres
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,02-10-2024,USSM12401302,24,278.9,"42,67,00,979","34,044","15,29,28,632",86,"3,57,24,356","4,37,980",Rythem
Future,Future,official sound studio,01-10-2024,RUA1H2415548,25,277.5,,1,2,,,,Blues
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,BXWEH2200054,26,268.1,"73,82,759","3,504","6,61,084",35,"42,33,958","69,990",Folk Music
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,07-09-2021,USSM12103949,27,266.3,"3,10,71,00,349","4,51,732","13,47,93,519",78,"1,25,69,73,582","1,46,61,425",Disco
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,12-01-2015,KRE671700001,28,265.7,"72,08,22,868","60,945","75,30,769",71,"16,32,27,56,555","4,87,57,673",Rock
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,03-08-2024,USUM72317276,29,262.8,"59,10,68,364","26,203","19,74,94,995",87,"15,68,82,014","30,80,503",pop
Numb / Encore,Papercuts,JAY-Z,04-12-2024,USWB12400678,30,256,"1,00,32,15,671",128,"4,85,454",,,,jazz
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,5/14/2024,TCJPA2406007,31,249.8,"1,64,50,79,292",,,,,,Rock
SHEESH,BABYMONS7ER,BABYMONSTER,04-01-2024,KRA402400016,32,237.5,"12,48,93,397","3,479","2,59,36,342",82,"35,98,96,095","49,07,193",pop
Water,Water,Tyla,7/28/2023,USSM12305126,33,234.6,"67,03,76,179","98,450","15,04,71,020",83,"26,51,80,930","25,66,846",jazz
Strangers,Strangers,Kenya Grace,09-01-2023,USWB12305048,34,233.5,"75,01,54,960","1,39,141","10,38,79,363",79,"11,82,08,096","14,95,758",hip hop
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,USSM12401865,35,231.6,"53,20,12,790","23,557","6,74,88,850",,"6,21,23,098","9,23,733",Rythem
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,4/26/2024,GBAYE2300351,36,230,"47,94,17,905",7,"1,519",,,,Blues
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,04-12-2024,USUYG1541249,37,226.4,"31,19,28,522","25,766","18,02,37,463",96,"6,26,94,868","8,37,616",Folk Music
Lose Control,Lose Control,Teddy Swims,6/23/2023,USWB12302315,38,224.1,"77,51,35,157","88,239","18,06,17,454",87,"13,91,80,960","15,04,385",Disco
fukumean,fukumean,Gunna,6/15/2023,USAT22306575,39,221.1,"75,99,98,727","1,88,142","8,03,92,612",80,"9,46,99,547","12,22,012",Rock
Dance Monkey,Dance Monkey,Tones And I,05-10-2019,QZES71982312,40,214.5,"3,07,12,14,106","3,75,201","6,49,01,153",71,"3,36,64,47,481","2,72,40,268",pop
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401994,41,212.8,"21,42,37,645","10,871","20,26,26,837",92,"1,10,33,725","2,51,373",jazz
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,04-08-2023,KRA252300672,42,211.2,"17,09,70,614","27,827","57,84,546",41,"2,22,80,037","3,34,523",Rock
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,UKWLG2200055,43,209.6,"1,65,82,29,422","2,62,248","23,99,57,538",83,"46,60,80,689","43,24,989",pop
Daylight,Daylight,David Kushner,4/14/2023,QZXDB2300005,44,207,"1,12,68,20,069","1,77,800","8,52,55,689",82,"27,40,70,101","37,01,289",jazz
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9/15/2023,USJ5G2335007,45,206.2,"99,77,02,304","1,05,927","9,28,34,002",86,"4,80,93,111","9,59,175",hip hop
Please Please Please,Please Please Please,Sabrina Carpenter,06-06-2024,USUM72404101,46,205.7,"5,93,14,441","2,572","18,30,43,096",83,"2,23,74,807","10,26,097",Rythem
Houdini,Houdini - Single,Dua Lipa,11-09-2023,GBAHT2301246,47,205.1,"49,36,27,071","45,300","8,78,74,006",80,"15,05,71,504","15,75,378",Blues
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,05-02-2024,TCJPA2415647,48,204.4,"1,65,55,75,417",9,85,,,,Folk Music
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,02-10-2023,GBUM72300969,49,203.6,"30,49,29,492","43,923","4,61,33,083",69,"6,19,86,821","9,21,044",Disco
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1/13/2017,USUM71607007,50,203.5,"1,74,70,93,405","1,78,114","4,94,64,650",74,"9,53,71,35,721","6,17,99,279",Rock
euphoria,euphoria,Kendrick Lamar,4/30/2024,USUG12402839,51,202.1,"16,84,34,320","17,168","6,25,16,401",86,"5,36,04,746","18,46,535",pop
Panda Basi,Panda Basi - EP,Mvua,02-10-2023,GX3Q92333626,52,200.3,"1,04,271",249,"8,585",25,"2,45,70,26,781",,jazz
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,NGA3B2214021,53,198,"1,39,16,88,322","1,63,876","13,09,63,116",77,"90,27,42,581","80,99,187",Rock
Shape of You,Shape of You,Ed Sheeran,01-06-2017,GBAHS1600463,54,195.1,"3,90,94,58,734","3,16,378","14,80,37,882",80,"8,01,39,97,219","4,57,70,887",pop
Mitu,Mitu - Single,Maian,1/19/2023,EEUM72300001,55,194.3,"55,346",42,"16,861",13,"2,43,22,65,978","81,62,101",Rock
Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,USUG11904206,56,194,"4,28,14,68,720","5,90,392","16,55,44,011",83,"83,38,07,130","1,00,93,211",pop
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12-02-2022,USUG12208791,57,192.3,"1,33,76,19,917","2,28,295","6,48,06,723",80,"19,39,82,443","20,23,998",jazz
Dona Felicidade,Dona Felicidade,Patati Patatï¿,06-04-2024,QZNJW2423715,58,190,,2,"41,206",,"5,24,80,069","82,092",hip hop
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,4/29/2024,TCJPA2420090,59,190,"1,65,55,75,417",1,3,,,,Rythem
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,GBUM72205415,60,189.1,"1,55,62,75,789","2,10,583","9,59,74,138",74,"25,40,51,906","33,64,206",Blues
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,06-05-2024,ROCMA2413380,61,187.9,,2,135,9,,,Folk Music
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,12/31/2023,RUA1H2406425,62,186.5,"1,384",2,801,,"2,22,076","5,430",Disco
Supernova,Supernova,aespa,5/13/2024,KRA302400090,63,186.1,"6,97,29,033","2,483","2,10,46,278",81,"11,13,10,770","17,24,693",Rock
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,05-06-2022,QM6MZ2214877,64,184.8,"1,81,19,90,630","1,73,358","6,76,03,671",79,"1,51,68,63,120","88,70,768",pop
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,3/29/2024,USCM52400059,65,181.4,"19,99,29,812",4,98,,,,jazz
Calm Down,Calm Down,Rema,02-10-2022,NGA3B2214004,66,180.1,"58,44,27,088","1,82,994","1,92,03,258",68,"1,14,19,04,909","87,66,235",Rock
CARNIVAL,CARNIVAL,ýý$,02-08-2024,QZ7XS2400012,67,179.6,"46,68,87,055","53,842","10,39,35,623",84,"2,76,88,666","4,49,112",pop
Kill Bill,SOS,SZA,12-08-2022,USRC12204584,68,177.7,"1,87,37,46,537","1,90,202","9,95,46,318",82,"22,05,38,045","31,53,793",jazz
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/2023,USUM72307484,69,177.6,"89,17,20,245","1,14,560","9,75,42,546",82,"14,47,41,616","27,61,964",hip hop
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,03-03-2023,QZA742305720,70,176.2,"46,567",252,"21,930",6,"2,03,84,59,981","60,76,902",Rythem
Heat Waves,Heat Waves,Glass Animals,6/29/2020,GBUM72000433,71,175,"2,99,61,81,078","4,86,278","11,24,16,489",82,"1,27,28,98,075","1,49,47,520",Blues
In the End,Papercuts,Linkin Park,04-12-2024,USWB11201322,72,174.8,"2,04,55,12,421",97,"4,88,602",,,,Folk Music
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,01-11-2023,UYB282301031,73,174.3,"94,69,41,510","1,00,130","7,48,36,321",74,"77,64,36,101","1,29,51,756",Disco
The Way We Move - Extended Mix,The Way We Move,PowerDress,03-10-2023,UKACT2330463,74,173.6,"7,909",38,"15,023",4,"1,99,93,74,091","57,08,577",Rock
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,USSM11901941,75,170.3,"1,01,04,94,713","1,27,393","1,86,52,312",67,"3,20,33,14,695","4,14,87,213",pop
un x100to,un x100to,Grupo Frontera,4/17/2023,QM6N22311285,76,170.2,"1,00,84,95,696","99,381","5,73,94,938",75,"87,88,92,413","44,25,283",jazz
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,4/24/2020,NZAM02001128,77,168.9,,"10,230","11,42,937",,"1,24,89,728","3,39,414",Rock
Sprinter,Sprinter - Single,Dave,06-01-2023,GBUM72305159,78,168.1,"69,25,12,930","1,99,828","5,54,64,762",78,"21,96,66,692","23,32,307",pop
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401988,79,167.8,"16,94,10,711","11,028","14,48,54,768",90,"1,94,02,457","9,97,411",jazz
TQG,TQG,KAROL G,2/23/2023,USUM72222541,80,167.8,"1,02,43,81,758","78,554","6,93,19,589",78,"1,10,22,89,596","89,53,293",hip hop
Perfect,ýý (Deluxe),Ed Sheeran,03-03-2017,GBAHS1700024,81,167.5,"2,96,99,99,682","2,80,165","11,69,21,604",81,"6,47,36,98,897","3,96,32,673",Rythem
Pepas,Pepas,Farruko,6/24/2021,USSD12100307,82,167.3,"1,50,04,99,584","3,59,502","12,51,12,486",74,"1,43,15,91,689","1,15,53,088",Blues
Peekaboo,Glide - Single,Dave Angel,1/27/2023,GBLTF2300027,83,167.2,"8,082",63,"32,758",,"2,05,59,40,513","41,50,967",Folk Music
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/2023,USE7D2300007,84,166.5,"1,21,53,36,974","1,29,463","3,98,14,172",74,"70,18,80,622","38,31,236",Disco
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,5/25/2023,USAT22305457,85,166.2,"86,00,26,452","74,769","13,99,13,794",80,"17,30,44,031","16,40,319",Rock
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,3/17/2023,MXF152300159,86,164.9,"1,03,22,25,805","94,887","7,44,69,479",79,"92,08,78,032","31,18,229",pop
redrum,american dream,21 Savage,01-12-2024,USSM12309164,87,164.8,"42,82,33,003","57,311","14,42,98,748",,"10,51,48,629","17,62,297",jazz
Easy On Me,Easy On Me,Adele,10/14/2021,USSM12105970,88,163.2,"1,72,09,18,065","2,09,635","9,38,75,458",73,"1,19,48,46,205","1,35,61,925",Rock
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,05-06-2022,QM6MZ2214878,89,163.1,"1,51,42,39,759","1,90,692","7,72,83,361",77,"1,36,61,81,141","93,58,441",pop
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,05-12-2023,USQX92302957,90,162,"33,32,02,114","1,08,322","4,10,18,697",68,"20,34,87,345","20,84,532",jazz
Anti-Hero,Midnights,Taylor Swift,10/21/2022,USUG12205736,91,161.8,"1,56,32,24,246","1,17,005","9,74,56,780",80,"20,32,59,285","34,82,508",hip hop
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,07-06-2022,UYB282201028,92,161.7,"1,69,29,51,462","2,09,490","8,85,91,675",78,"1,13,25,39,234","87,95,731",Rythem
Magnetic,SUPER REAL ME,ILLIT,3/25/2024,USA2P2413259,93,161,"25,50,76,355","11,500","9,05,84,540",86,"20,22,06,901","25,96,912",Blues
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,7/28/2023,USSD12300307,94,158.2,"27,53,49,653","37,806","2,28,26,643",70,"34,75,06,860","15,53,295",Folk Music
La Diabla,La Diabla - Single,Xavi,12-02-2023,USA2P2357356,95,155.9,"64,94,04,552","27,544","4,77,89,063",83,"43,38,39,212","27,50,086",Disco
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,02-03-2023,GBAYE2300015,96,153.6,"85,10,85,705","1,29,047","5,09,96,176",70,"21,18,10,152","24,61,166",Rock
Snooze,SOS,SZA,12-09-2022,USRC12204591,97,153.3,"1,01,33,50,808","1,08,036","8,64,70,319",84,"39,06,77,417","25,21,214",pop
BELLAKEO,BELLAKEO,Peso Pluma,12-07-2023,QMFMF2388143,98,153.1,"35,98,03,580","26,065","7,91,52,427",86,"36,93,21,334","18,39,225",jazz
Agora Hills,Scarlet,Doja Cat,9/22/2023,USRC12301954,99,152.8,"50,96,53,100","66,219","6,75,21,533",,"4,80,45,203","9,86,278",Rock
Prada,Prada,cassï¿,08-11-2023,GBCEN2300147,100,152.5,"60,96,99,748","1,28,498","16,07,55,092",83,"4,76,11,547","4,18,343",pop
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,05-02-2024,GXD7G2413058,101,152.3,"51,57,486",470,"29,24,720",,"12,78,618","27,849",Rock
Lil Boo Thang,Lil Boo Thang,Paul Russell,8/18/2023,USAR12300323,102,152.1,"24,20,70,373","37,170","7,41,30,983",76,"2,29,07,992","2,61,664",pop
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QMFME2364182,103,150.7,"47,81,50,858","73,306","5,18,42,133",78,"11,33,79,734","13,12,763",jazz
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,4/24/2020,USSM12002399,104,150.5,"6,13,82,407","7,240","17,08,319",43,"99,77,490","2,01,210",hip hop
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,6/15/2023,GBBKS2300080,105,150.4,"46,01,56,070","1,63,449","12,78,27,271",77,"81,83,226","98,257",Rythem
Training Season,Training Season,Dua Lipa,2/15/2024,GBAHT2301078,106,148.9,"25,11,53,869","16,811","9,29,85,554",76,"6,66,91,067","9,61,957",Blues
Type Shit,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402033,107,148.1,"20,52,06,688","28,064","8,47,37,651",84,"3,94,53,253","6,72,789",Folk Music
Armageddon,Armageddon - The 1st Album,aespa,5/27/2024,KRA302400093,108,147.4,"3,29,42,304","1,262","2,62,04,483",74,"5,78,61,795","12,57,935",Disco
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,12-06-2019,USAT21906978,109,146.6,"1,91,15,59,785","3,17,345","8,77,65,033",78,"44,12,57,231","48,29,633",Rock
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,7/23/2021,USSM12104539,110,145.3,"2,01,49,59,725","3,54,831","8,79,42,438",70,"1,00,33,46,208","1,68,56,186",pop
Pedro,Pedro - Single,Jaxomy,3/29/2024,DEE862400427,111,144.6,"16,81,45,583","27,654","15,97,37,263",85,"3,50,08,949","7,17,214",jazz
Fast Car,Gettin' Old,Luke Combs,3/24/2023,US6XF2200436,112,144.5,"51,89,88,585","73,116","5,83,91,498",80,"10,77,03,759","7,68,813",Rock
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,01-07-2024,JPU902305042,113,144,"24,73,99,972","22,222","1,38,70,528",80,"38,95,40,239","43,92,933",pop
Aesthetic,Aesthetic,Tollan Kim,03-04-2022,SGB502208576,114,144,"57,12,985","2,311","5,35,908",44,"31,20,073","56,276",jazz
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,10/18/2018,USUM71814888,116,143.9,"3,35,87,04,125","3,92,082","12,39,17,182",79,"2,76,31,88,773","1,94,10,390",hip hop
Hands,Hands,Dianï¿½,08-01-2022,GBKPL2205333,115,143.9,"1,26,914",8,212,1,"2,43,58,13,922","72,08,467",Rythem
Saturn,Saturn - Single,SZA,2/24/2024,USRC12400216,117,142.8,"34,30,90,427","21,104","15,42,53,718",87,"3,81,73,339","3,49,660",Blues
Chegou a Hora de Ir para Cama (Playback),3 Palavrinhas Vol.9 (Playback),3 Palavrinhas,06-04-2024,BXT622400190,118,142.4,,,,,"3,93,23,383","44,223",Folk Music
Believer,Believer,Imagine Dragons,1/31/2017,USUM71700626,119,142.2,"3,00,62,26,762","3,35,880","8,92,43,475",81,"4,49,50,59,988","4,22,40,881",Disco
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,4/27/2022,USSM12203789,120,141,"78,71,55,930","1,83,850","5,83,97,185",77,"35,77,72,653","25,90,835",Rock
I KNOW ?,UTOPIA,Travis Scott,7/28/2023,USSM12305012,121,139.5,"53,26,05,345","1,28,534","3,17,25,858",81,"9,79,58,347","12,37,197",pop
ANDO,ANDO,Jere Klein,9/27/2023,QMDA72363047,122,139,"29,27,89,738","28,591","3,09,05,957",72,"40,63,07,035","8,09,942",jazz
First Class,First Class,Jack Harlow,04-08-2022,USAT22203024,123,138.6,"81,88,58,244","2,23,609","4,95,86,777",71,"23,12,29,581","27,56,840",Rock
FE!N,UTOPIA,Travis Scott,7/28/2023,USSM12305010,124,137.8,"65,90,10,786","1,29,923","9,39,69,186",86,"12,52,03,447","19,90,342",pop
Save Your Tears - Live,After Hours (Live At SoFi Stadium),The Weeknd,03-03-2023,USUG12301493,125,137.7,"39,13,988",545,"10,54,122",40,"1,57,70,17,938","93,04,666",jazz
Losing Interest - Original Mix,Losing Interest (Original),Goovex,06-10-2024,CA5KR2465999,126,136.4,"12,62,47,886",5,"5,973",1,,,hip hop
I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,5/13/2022,USUM72206227,127,136.2,"1,60,74,21,145","2,12,406","16,04,44,270",83,"40,97,85,349","33,26,477",Rythem
MI EX TENï¿½ï¿½A RA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,08-10-2023,USUG12305253,128,136.2,"43,87,96,949","23,959","3,48,05,394",78,"50,97,27,241","22,02,866",Blues
Drained of Color,Drained of Color,Exhumed,8/30/2022,US2642250302,129,134,"1,58,627",635,"18,765",16,"2,15,61,40,830",,Folk Music
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,7/24/2020,USQX92003025,130,133,"1,86,77,36,006","3,02,486","8,26,11,625",76,"74,71,26,783","1,07,95,292",Disco
Dynamite,Dynamite,BTS,8/21/2020,QM7282022872,131,132.3,"1,87,25,77,908","1,44,619","5,11,86,002",74,"2,63,89,57,320","6,23,11,179",Rock
Looking Like a Wow End of Year 2023,Looking Like a Wow,WasteLand,12-10-2023,GXBAV2381801,132,130.7,"8,327",3,8,,,,pop
Someone You Loved,Breach,Lewis Capaldi,11-08-2018,DEUM71807062,133,129.7,"3,42,74,98,835","3,38,763","16,05,53,919",82,"2,15,37,01,892","2,08,91,433",jazz
Acrï¿½ï¿½s,Acrï¿½ï¿½stico - Si,Shakira,05-11-2023,USQX92302824,134,129.6,"23,08,49,195","23,091","1,22,33,221",64,"36,30,82,908","51,35,848",Rock
Made You Look,Takin' It Back,Meghan Trainor,10/21/2022,USSM12204574,135,129.5,"72,07,20,922","74,295","8,95,09,926",77,"22,10,78,988","25,57,839",pop
PHONK BRASILEIRO FRESCO (Slowed + Reverb),PHONK BRASILEIRO FRESCO,DJ MOIGUS,6/22/2023,QZMEQ2306756,136,129.4,"13,78,494",351,"43,395",34,"10,22,331","22,739",jazz
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]","Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,5/29/2024,INS182401602,137,129.1,"28,27,545",62,"14,33,870",,"5,43,30,074","8,01,621",hip hop
vampire,vampire,Olivia Rodrigo,6/30/2023,USUG12304091,138,128.9,"99,89,64,097","90,793","8,78,01,398",18,"11,34,50,524","21,08,657",Rythem
Casca de Bala,A Cara das Vaquejadas 3.0,Thullio Milionï¿½ï¿,03-01-2024,BCAEW2400001,139,128.5,"3,71,57,630","2,052","3,03,87,641",74,"6,34,18,833","4,27,441",Blues
Back,Back,LOLA,08-03-2022,UKQNV2100272,140,128,"48,428",92,"15,747",3,"2,12,39,78,358","56,70,850",Folk Music
People,People - Single,Libianca,12-05-2022,QZTB52268087,141,127.8,"63,19,55,547","1,21,823","4,50,30,006",74,"30,59,98,382","26,47,341",Disco
Jedag Jedug Capcut 2024,Jedag Jedug Capcut 2024,Afrian Af,01-05-2024,ATR981312465,142,127.4,,1,47,,,,Rock
Lady Killers II (Christoph Andersson Remix),Lady Killers II (Christoph Andersson Remix),G-Eazy,3/17/2024,TCAIA2495220,143,127.3,"9,46,35,338","10,537","1,17,16,074",,"9,44,314","17,943",pop
I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,04-05-2024,UKWLG2400013,144,126.9,"11,45,74,238","10,564","18,09,87,712",84,"91,34,225","1,24,326",jazz
Abc,Abc,J Ross,2/14/2023,CLLU22300585,145,126.6,"31,867",5,"5,100",1,"1,53,85,64,650","20,66,653",Rock
La Bachata,La Bachata,Manuel Turizo,5/26/2022,QZDYA1800087,146,126.2,"1,72,10,45,197","1,56,941","9,71,22,096",81,"79,88,27,877","33,79,928",pop
ýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýý,FLI:P,04-07-2023,FRX282306294,147,125.4,"80,28,757","1,972","4,88,653",44,"4,85,33,758","3,99,664",Rock
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,3/19/2021,USUM72102636,148,125.2,"1,61,22,86,123","2,82,719","9,73,90,961",74,"1,01,92,56,266","1,02,80,320",pop
Don't Start Now,Don't Start Now,Dua Lipa,10/31/2019,GBAHT1901121,149,124.6,"2,60,71,21,959","2,70,230","14,39,53,432",78,"1,20,16,00,884","1,02,39,198",jazz
Lucid Dreams,Lucid Dreams,Juice WRLD,05-04-2018,USUG11800685,150,123.9,"2,54,83,89,305","3,39,306","7,58,58,140",78,"98,71,43,411","93,84,427",hip hop
PROVENZA,PROVENZA,KAROL G,4/22/2022,USUM72205906,151,123.8,"1,18,59,29,926","1,03,026","6,48,47,502",76,"1,22,98,43,060","58,70,729",Rythem
